scenario,capture,relative_regret
AIOE__equal5,0.9767784784452977,0.02322152155470225
AIOE__leave_critical_thinking_out,0.9795252034646199,0.02047479653538009
AIOE__leave_active_learning_out,0.9748680720789116,0.025131927921088426
AIOE__leave_learning_strategies_out,0.971299291202373,0.028700708797626984
AIOE__leave_active_listening_out,0.9786906167151544,0.02130938328484555
AIOE__leave_speaking_out,0.9784014714398078,0.021598528560192176
Microsoft_user_goal__equal5,0.9720981027815845,0.027901897218415517
Microsoft_user_goal__leave_critical_thinking_out,0.9714026152157199,0.02859738478428009
Microsoft_user_goal__leave_active_learning_out,0.9730744435844378,0.026925556415562157
Microsoft_user_goal__leave_learning_strategies_out,0.9699431326390064,0.030056867360993555
Microsoft_user_goal__leave_active_listening_out,0.9701367178602103,0.029863282139789726
Microsoft_user_goal__leave_speaking_out,0.9735515166324481,0.0264484833675519
Microsoft_ai_nonphysical__equal5,0.9622969171780182,0.03770308282198176
Microsoft_ai_nonphysical__leave_critical_thinking_out,0.9613001927010824,0.03869980729891764
Microsoft_ai_nonphysical__leave_active_learning_out,0.9628028715082754,0.03719712849172463
Microsoft_ai_nonphysical__leave_learning_strategies_out,0.9589201511773436,0.04107984882265636
Microsoft_ai_nonphysical__leave_active_listening_out,0.9631732898497511,0.036826710150248854
Microsoft_ai_nonphysical__leave_speaking_out,0.9626321044292437,0.03736789557075626
